INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,LOC_OF_OCCUR_DESC,PRECINCT,JURISDICTION_CODE,LOC_CLASSFCTN_DESC,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,New Georeferenced Column
287476966,05/24/2024,23:50:00,BROOKLYN,OUTSIDE,90,2,HOUSING,MULTI DWELL - PUBLIC HOUS,Y,(null),(null),(null),18-24,M,BLACK,1000956,195764,40.70399,-73.939746,POINT (-73.939746 40.70399)
288669972,06/17/2024,18:00:00,BRONX,OUTSIDE,47,0,STREET,(null),N,(null),(null),(null),25-44,M,BLACK,1024351,260917,40.882741,-73.854979,POINT (-73.854979 40.882741)
285682731,04/21/2024,02:10:00,BRONX,INSIDE,48,0,COMMERCIAL,BAR/NIGHT CLUB,N,(null),(null),(null),18-24,M,BLACK HISPANIC,1015643,250609,40.854483,-73.886519,POINT (-73.886519 40.854483)
285004479,04/08/2024,19:53:00,BROOKLYN,OUTSIDE,73,0,STREET,(null),N,(null),(null),(null),25-44,M,BLACK,1010184,182784,40.668341,-73.906514,POINT (-73.906514 40.668341)
287853116,06/01/2024,02:40:00,BROOKLYN,INSIDE,61,2,HOUSING,MULTI DWELL - PUBLIC HOUS,Y,(null),(null),(null),18-24,M,BLACK,995122,155693,,,
284444370,03/27/2024,03:30:00,BROOKLYN,OUTSIDE,75,0,STREET,(null),N,(null),(null),(null),25-44,M,WHITE HISPANIC,1013865,181817,40.665674,-73.893249,POINT (-73.893249 40.665674)
282033298,02/10/2024,05:10:00,BRONX,INSIDE,52,0,DWELLING,MULTI DWELL - APT BUILD,N,25-44,M,BLACK HISPANIC,<18,M,BLACK HISPANIC,1015796,257648,40.873803,-73.885931,POINT (-73.885931 40.873803)
285315561,04/13/2024,22:21:00,QUEENS,OUTSIDE,101,2,HOUSING,MULTI DWELL - PUBLIC HOUS,N,(null),(null),(null),45-64,M,BLACK,1053494,161531,40.609773,-73.750609,POINT (-73.750609 40.609773)
287125471,05/19/2024,03:00:00,BROOKLYN,INSIDE,81,0,(null),HOSPITAL,N,(null),(null),(null),25-44,M,BLACK,1007189,245707,40.841057,-73.917095,POINT (-73.917095 40.841057)
287857962,06/02/2024,19:35:00,BROOKLYN,OUTSIDE,81,0,STREET,(null),N,(null),(null),(null),18-24,M,BLACK,1004464,190003,40.68816799302826,-73.9271121065223,POINT (-73.9271121065223 40.68816799302826)
